lng,lat,time,flow,dm
116.458,39.948,2017-07-07 13:00:00,1,0
116.458,39.948,2017-07-07 14:00:00,0,2
116.458,39.948,2017-07-07 15:00:00,1,0
116.458,39.948,2017-07-07 16:00:00,1,0
116.458,39.948,2017-07-07 18:00:00,2,1
116.458,39.948,2017-07-07 19:00:00,4,1
116.458,39.948,2017-07-07 20:00:00,1,5
116.458,39.948,2017-07-07 21:00:00,1,0
116.458,39.948,2017-07-07 22:00:00,0,3
116.458,39.948,2017-07-08 00:00:00,0,0
116.458,39.948,2017-07-08 01:00:00,0,0
116.458,39.948,2017-07-08 02:00:00,0,0
116.458,39.948,2017-07-08 03:00:00,0,1
116.458,39.948,2017-07-08 04:00:00,1,0
116.458,39.948,2017-07-08 05:00:00,1,0
116.458,39.948,2017-07-08 06:00:00,0,0
116.458,39.948,2017-07-08 07:00:00,0,0
116.458,39.948,2017-07-08 08:00:00,0,0
116.458,39.948,2017-07-08 09:00:00,1,0
116.458,39.948,2017-07-08 10:00:00,0,0
116.458,39.948,2017-07-08 11:00:00,0,0
116.458,39.948,2017-07-08 12:00:00,0,0
116.458,39.948,2017-07-08 13:00:00,0,0
116.458,39.948,2017-07-08 14:00:00,0,0
116.458,39.948,2017-07-08 15:00:00,0,0
116.458,39.948,2017-07-08 16:00:00,2,0
116.458,39.948,2017-07-08 17:00:00,0,0
116.458,39.948,2017-07-08 18:00:00,1,0
116.458,39.948,2017-07-08 19:00:00,3,1
116.458,39.948,2017-07-08 20:00:00,1,0
116.458,39.948,2017-07-08 21:00:00,0,0
116.458,39.948,2017-07-08 22:00:00,0,0
116.458,39.948,2017-07-08 23:00:00,0,0
116.458,39.948,2017-07-09 00:00:00,0,0
116.458,39.948,2017-07-09 01:00:00,0,0
116.458,39.948,2017-07-09 02:00:00,0,0
116.458,39.948,2017-07-09 03:00:00,0,0
116.458,39.948,2017-07-09 04:00:00,0,0
116.458,39.948,2017-07-09 05:00:00,0,0
116.458,39.948,2017-07-09 06:00:00,0,0
116.458,39.948,2017-07-09 07:00:00,1,0
116.458,39.948,2017-07-09 08:00:00,2,0
116.458,39.948,2017-07-09 09:00:00,0,0
116.458,39.948,2017-07-09 10:00:00,0,0
116.458,39.948,2017-07-09 11:00:00,1,0
116.458,39.948,2017-07-09 12:00:00,0,0
116.458,39.948,2017-07-09 13:00:00,0,0
116.458,39.948,2017-07-09 14:00:00,1,0
116.458,39.948,2017-07-09 15:00:00,2,0
116.458,39.948,2017-07-09 16:00:00,3,0
116.458,39.948,2017-07-09 17:00:00,1,0
116.458,39.948,2017-07-09 18:00:00,0,0
116.458,39.948,2017-07-09 19:00:00,0,0
116.458,39.948,2017-07-09 20:00:00,0,1
116.458,39.948,2017-07-09 21:00:00,0,0
116.458,39.948,2017-07-09 22:00:00,1,0
116.458,39.948,2017-07-09 23:00:00,0,0
116.458,39.949,2017-06-12 00:00:00,0,1
116.458,39.949,2017-06-12 01:00:00,0,0
116.458,39.949,2017-06-12 02:00:00,0,0
116.458,39.949,2017-06-12 03:00:00,0,0
116.458,39.949,2017-06-12 04:00:00,0,0
116.458,39.949,2017-06-12 05:00:00,0,0
116.458,39.949,2017-06-12 06:00:00,0,2
116.458,39.949,2017-06-12 07:00:00,4,4
116.458,39.949,2017-06-12 08:00:00,3,8
116.458,39.949,2017-06-12 09:00:00,2,3
116.458,39.949,2017-06-12 10:00:00,1,7
116.458,39.949,2017-06-12 11:00:00,3,7
116.458,39.949,2017-06-12 12:00:00,5,10
116.458,39.949,2017-06-12 13:00:00,1,3
116.458,39.949,2017-06-12 14:00:00,2,0
116.458,39.949,2017-06-12 15:00:00,3,5
